plt_cn,statecd,unitcd,countycd,plot,measyear,drybio_ag_live_5plus,lat_public,lon_public,puid,measmon,measday,time
4.03899E+13,16,3,37,81468,2011,0,2550968.967,-1427415.259,81468_3_37_16,9,1,2011.75274
4.03895E+13,16,3,19,81351,2012,0,2380230.129,-1251789.755,81351_3_19_16,10,9,2012.857991
4.03895E+13,16,3,19,81671,2012,11.14313113,2376542.268,-1227619.88,81671_3_19_16,10,4,2012.844292
4.03907E+13,16,3,59,88396,2012,37.71864761,2614776.881,-1386656.906,88396_3_59_16,8,15,2012.707763
4.03907E+13,16,3,59,84853,2012,0,2595780.56,-1390293.612,84853_3_59_16,9,1,2012.75274
4.03891E+13,16,3,7,88472,2012,5.381670323,2269097.274,-1245853.733,88472_3_7_16,5,29,2012.496119
4.03908E+13,16,3,59,88739,2012,1.42672537,2579768.362,-1392324.16,88739_3_59_16,6,11,2012.530137
4.03908E+13,16,3,59,82956,2012,0,2560067.965,-1395535.271,82956_3_59_16,9,1,2012.75274
4.03908E+13,16,3,59,85669,2012,4.113968532,2556518.545,-1370421.921,85669_3_59_16,6,24,2012.565753
4.03908E+13,16,3,59,85593,2012,0,2557495.083,-1411307.666,85593_3_59_16,9,1,2012.75274
4.03908E+13,16,3,59,81122,2012,53.17391892,2540338.044,-1398737.256,81122_3_59_16,7,26,2012.654566
4.03908E+13,16,3,59,88243,2012,0,2536915.46,-1372636.638,88243_3_59_16,9,1,2012.75274
4.03908E+13,16,3,59,80552,2012,59.06709241,2532748.885,-1349236.255,80552_3_59_16,9,1,2012.75274
4.03908E+13,16,3,59,87872,2012,0,2537801.373,-1414465.138,87872_3_59_16,9,1,2012.75274
4.03908E+13,16,3,59,83503,2012,0,2529042.9,-1359555.794,83503_3_59_16,9,1,2012.75274
4.03908E+13,16,3,59,88818,2012,0,2525892.941,-1400718.191,88818_3_59_16,9,1,2012.75274
4.03908E+13,16,3,59,81091,2012,12.04389206,2521320.091,-1376086.921,81091_3_59_16,7,25,2012.651826
4.03908E+13,16,3,59,88630,2012,0,2514096.649,-1362324.051,88630_3_59_16,9,1,2012.75274
4.03908E+13,16,3,59,87026,2012,0,2498207.766,-1353946.067,87026_3_59_16,9,1,2012.75274
4.03908E+13,16,3,59,86990,2012,54.54422912,2494083.119,-1364681.569,86990_3_59_16,8,8,2012.688584
4.03908E+13,16,3,59,83469,2012,3.638763231,2490597.054,-1340389.7,83469_3_59_16,7,22,2012.643607
4.03908E+13,16,3,59,84223,2012,0.504538118,2629580.949,-1397539.406,84223_3_59_16,7,24,2012.649087
4.03908E+13,16,3,59,81418,2012,0,2571019.042,-1380241.774,81418_3_59_16,9,1,2012.75274
4.03892E+13,16,3,11,85116,2012,0,2346110.374,-1257707.972,85116_3_11_16,9,26,2012.821233
4.03909E+13,16,3,59,81501,2012,0,2514712.231,-1350274.063,81501_3_59_16,9,1,2012.75274
4.03909E+13,16,3,65,80611,2012,43.98110442,2402715.721,-1233078.596,80611_3_65_16,9,26,2012.821233
4.039E+13,16,3,37,82462,2012,0,2511072.715,-1431638.793,82462_3_37_16,9,1,2012.75274
4.039E+13,16,3,37,81938,2012,0,2505845.863,-1403664.228,81938_3_37_16,9,1,2012.75274
4.039E+13,16,3,37,81921,2012,0.234612885,2501828.493,-1378910.76,81921_3_37_16,9,5,2012.763699
4.039E+13,16,3,37,83295,2012,0,2508784.901,-1447646.898,83295_3_37_16,9,1,2012.75274
4.039E+13,16,3,37,86042,2012,0,2490525.879,-1436107.333,86042_3_37_16,9,1,2012.75274
4.039E+13,16,3,37,82277,2012,0,2488043.264,-1421889.414,82277_3_37_16,9,1,2012.75274
4.039E+13,16,3,37,81605,2012,74.88646424,2485758.002,-1406553.335,81605_3_37_16,9,1,2012.75274
4.039E+13,16,3,37,81517,2012,0,2482053.931,-1381926.108,81517_3_37_16,9,1,2012.75274
4.039E+13,16,3,37,82754,2012,0,2488861.801,-1446570.197,82754_3_37_16,9,1,2012.75274
4.039E+13,16,3,37,83677,2012,0,2476111.529,-1439470.828,83677_3_37_16,6,11,2012.530137
4.039E+13,16,3,37,81562,2012,0,2468556.419,-1425010.461,81562_3_37_16,9,1,2012.75274
4.03901E+13,16,3,37,87786,2012,22.90693438,2451389.693,-1412607.769,87786_3_37_16,7,30,2012.665525
4.03901E+13,16,3,37,82486,2012,0,2480445.481,-1397198.486,82486_3_37_16,9,1,2012.75274
4.03902E+13,16,3,43,82711,2012,30.11084853,2511919.625,-1215387.879,82711_3_43_16,7,7,2012.602511
4.03902E+13,16,3,43,82044,2012,0,2505891.162,-1207096.779,82044_3_43_16,9,1,2012.75274
4.03902E+13,16,3,43,87729,2012,60.0313798,2492299.359,-1219073.783,87729_3_43_16,7,19,2012.635388
4.03902E+13,16,3,43,85881,2012,6.21624201,2485844.259,-1209909.809,85881_3_43_16,7,6,2012.599772
4.03902E+13,16,3,43,81731,2012,32.45696021,2474712.918,-1236873.283,81731_3_43_16,8,9,2012.691324
1.17943E+13,16,3,19,86810,2006,9.568771988,2374685.719,-1217481.725,86810_3_19_16,7,17,2006.629909
1.17943E+13,16,3,19,86920,2006,24.59275573,2381340.248,-1226108.181,86920_3_19_16,6,16,2006.543836
1.17943E+13,16,3,19,88429,2006,40.268071,2365039.951,-1231146.64,88429_3_19_16,7,16,2006.627169
1.17944E+13,16,3,19,88843,2006,10.31199566,2339684.186,-1223490.824,88843_3_19_16,7,13,2006.61895
1.2273E+13,16,3,23,85024,2007,0,2415812.203,-1382236.644,85024_3_23_16,9,1,2007.75274
1.2273E+13,16,3,23,85161,2007,0,2449471.323,-1336830.647,85161_3_23_16,9,1,2007.75274
1.2273E+13,16,3,23,85378,2007,0,2437599.509,-1389548.652,85378_3_23_16,9,1,2007.75274
3.53714E+13,16,3,29,87205,2009,0,2315986.58,-1231784.578,87205_3_29_16,8,7,2009.685845
3.53714E+13,16,3,29,85546,2009,0,2303383.27,-1249462.698,85546_3_29_16,9,1,2009.75274
3.53714E+13,16,3,29,83806,2009,0,2299029.496,-1219793.007,83806_3_29_16,9,1,2009.75274
3.53712E+13,16,3,19,84965,2009,53.20760382,2374745.899,-1248012.942,84965_3_19_16,7,12,2009.61621
3.53712E+13,16,3,19,87816,2009,0,2365741.744,-1225027.911,87816_3_19_16,9,1,2009.75274
3.53712E+13,16,3,19,84804,2009,28.37778038,2357981.21,-1240890.403,84804_3_19_16,8,9,2009.691324
3.53712E+13,16,3,19,81831,2009,58.86840078,2354984.995,-1250772.565,81831_3_19_16,10,1,2009.836073
3.53712E+13,16,3,19,82824,2009,42.44421776,2350987.976,-1226792.606,82824_3_19_16,10,2,2009.838813
3.53712E+13,16,3,19,85772,2009,0,2338612.994,-1243428.885,85772_3_19_16,9,1,2009.75274
3.53712E+13,16,3,19,81190,2009,0,2334786.656,-1254085.684,81190_3_19_16,9,1,2009.75274
3.53714E+13,16,3,29,80490,2009,99.05289342,2320437.015,-1244936.914,80490_3_29_16,9,30,2009.832192
3.53714E+13,16,3,29,85406,2009,15.14843701,2316010.854,-1218307.585,85406_3_29_16,9,21,2009.807534
3.72756E+13,16,3,19,85302,2010,0,2380626.351,-1256562.861,85302_3_19_16,9,1,2010.75274
3.72756E+13,16,3,19,81519,2010,0,2365919.388,-1259413.216,81519_3_19_16,9,1,2010.75274
3.72756E+13,16,3,19,84111,2010,42.66443168,2362645.199,-1234618.778,84111_3_19_16,6,24,2010.565753
3.72756E+13,16,3,19,86030,2010,12.60333604,2342860.494,-1238063.087,86030_3_19_16,10,14,2010.871689
3.72756E+13,16,3,19,80974,2010,0,2338461.166,-1213572.714,80974_3_19_16,9,1,2010.75274
3.72756E+13,16,3,19,84913,2010,0,2329728.584,-1255182.276,84913_3_19_16,9,1,2010.75274
3.53721E+13,16,3,59,83532,2009,31.0396227,2626232.525,-1395200.706,83532_3_59_16,5,30,2009.498858
3.53721E+13,16,3,59,81939,2011,0,2620993.91,-1396040.718,81939_3_59_16,6,19,2011.552055
3.54846E+14,16,3,19,81190,2019,0,2334786.656,-1254085.684,81190_3_19_16,9,1,2019.75274
3.54846E+14,16,3,29,80490,2019,99.33067365,2320437.015,-1244936.914,80490_3_29_16,8,11,2019.696804
3.54846E+14,16,3,29,85546,2019,0,2303383.27,-1249462.698,85546_3_29_16,9,1,2019.75274
1.88772E+14,16,3,59,87539,2015,0,2523931.622,-1355063.802,87539_3_59_16,9,1,2015.75274
1.88772E+14,16,3,59,87595,2015,0,2501862.275,-1343881.04,87595_3_59_16,9,1,2015.75274
1.88772E+14,16,3,59,85317,2015,0,2481970.155,-1346393.389,85317_3_59_16,9,1,2015.75274
1.88772E+14,16,3,23,82815,2015,0,2468889.24,-1363566.239,82815_3_23_16,9,1,2015.75274
1.88771E+14,16,3,37,85816,2014,0,2542374.236,-1433978.812,85816_3_37_16,9,1,2014.75274
1.88771E+14,16,3,37,84983,2014,0,2527656.526,-1437900.221,84983_3_37_16,9,1,2014.75274
1.88771E+14,16,3,59,88821,2014,2.389800577,2556732.175,-1406487.456,88821_3_59_16,8,27,2014.740639
1.88771E+14,16,3,37,80279,2014,0,2543253.609,-1419160.745,80279_3_37_16,9,1,2014.75274
1.88771E+14,16,3,59,82328,2014,0,2537086.402,-1409533.617,82328_3_59_16,9,1,2014.75274
1.88771E+14,16,3,37,88497,2014,0,2529167.879,-1422344.475,88497_3_37_16,9,1,2014.75274
1.88771E+14,16,3,37,88447,2014,56.87475332,2501779.156,-1414319.907,88447_3_37_16,6,17,2014.546575
1.88771E+14,16,3,37,85038,2014,0,2491271.976,-1428518.89,85038_3_37_16,9,1,2014.75274
1.88771E+14,16,3,37,85175,2014,0,2467570.611,-1419503.119,85175_3_37_16,9,1,2014.75274
1.88771E+14,16,3,37,86534,2014,0,2448141.379,-1422499.418,86534_3_37_16,9,1,2014.75274
1.88771E+14,16,3,37,87677,2014,0,2480677.914,-1390503.941,87677_3_37_16,9,1,2014.75274
1.88771E+14,16,3,37,84044,2014,0,2470108.407,-1404166.589,84044_3_37_16,9,1,2014.75274
1.88771E+14,16,3,37,88370,2014,0,2444075.695,-1398656.036,88370_3_37_16,9,1,2014.75274
1.88771E+14,16,3,37,82018,2014,68.27642154,2450321.721,-1407018.801,82018_3_37_16,8,23,2014.72968
1.88771E+14,16,3,23,87683,2014,0,2429045.137,-1400503.739,87683_3_23_16,9,1,2014.75274
1.88771E+14,16,3,37,87728,2014,0,2434241.435,-1412283.084,87728_3_37_16,9,1,2014.75274
1.88772E+14,16,3,37,88941,2016,0,2531193.957,-1443866.329,88941_3_37_16,9,1,2016.75274
1.88774E+14,16,3,33,88674,2017,0.745115471,2483047.046,-1326423.078,88674_3_33_16,8,23,2017.72968
1.88774E+14,16,3,59,82663,2017,0,2480727.351,-1341826.03,82663_3_59_16,9,1,2017.75274
1.88774E+14,16,3,33,81937,2017,0,2472863.759,-1322801.806,81937_3_33_16,9,1,2017.75274
1.88774E+14,16,3,33,84958,2017,28.86828388,2464239.334,-1329751.398,84958_3_33_16,7,22,2017.643607
1.88774E+14,16,3,33,85884,2017,0,2457238.211,-1320727.521,85884_3_33_16,9,1,2017.75274
1.88775E+14,16,3,43,84419,2018,1.033848692,2492746.755,-1230215.635,84419_3_43_16,7,8,2018.605251
1.88774E+14,16,3,33,85380,2017,0,2476834.599,-1317900.011,85380_3_33_16,9,1,2017.75274
1.2273E+13,16,3,23,86318,2007,0,2431044.484,-1380366.425,86318_3_23_16,9,1,2007.75274
3.53713E+13,16,3,23,88084,2009,0,2471488.415,-1378991.3,88084_3_23_16,9,1,2009.75274
3.53713E+13,16,3,23,85033,2009,34.03790721,2456195.086,-1380952.458,85033_3_23_16,7,10,2009.610731
3.53713E+13,16,3,23,80659,2009,0,2453219.049,-1356691.982,80659_3_23_16,9,1,2009.75274
3.53713E+13,16,3,23,80963,2009,0,2448927.7,-1367114.287,80963_3_23_16,9,1,2009.75274
3.53713E+13,16,3,23,81169,2009,0,2445499.378,-1342516.263,81169_3_23_16,9,1,2009.75274
3.53713E+13,16,3,23,87886,2009,0,2436755.442,-1383833.043,87886_3_23_16,9,1,2009.75274
3.53713E+13,16,3,23,84440,2009,0,2432653.18,-1360015.883,84440_3_23_16,9,1,2009.75274
3.53713E+13,16,3,23,81849,2009,0,2421809.495,-1386733.747,81849_3_23_16,9,1,2009.75274
3.53713E+13,16,3,23,85744,2009,0,2419476.126,-1401889.323,85744_3_23_16,9,1,2009.75274
3.53716E+13,16,3,37,88206,2009,0,2473837.711,-1393289.653,88206_3_37_16,9,2,2009.755479
3.53716E+13,16,3,37,87762,2011,0,2464415.481,-1431850.854,87762_3_37_16,7,5,2011.597032
3.53716E+13,16,3,37,81522,2009,0,2460255.119,-1406047.487,81522_3_37_16,9,1,2009.75274
3.53716E+13,16,3,37,80145,2011,0,2458277.296,-1421992.055,80145_3_37_16,7,3,2011.591553
3.53716E+13,16,3,37,81437,2009,0,2454679.225,-1397292.483,81437_3_37_16,9,1,2009.75274
3.53716E+13,16,3,37,81336,2009,0,2434076.849,-1399595.492,81336_3_37_16,9,1,2009.75274
3.53716E+13,16,3,37,88245,2011,0,2519713.717,-1424335.186,88245_3_37_16,6,28,2011.576712
3.53716E+13,16,3,37,85021,2009,0,2517672.933,-1412425.265,85021_3_37_16,9,1,2009.75274
3.53716E+13,16,3,37,85502,2009,0,2514236.841,-1396866.749,85502_3_37_16,9,1,2009.75274
3.53716E+13,16,3,37,87021,2009,22.09747662,2518186.18,-1440786.138,87021_3_37_16,9,17,2009.796575
3.53716E+13,16,3,37,85867,2009,32.86084879,2511831.885,-1412764.809,85867_3_37_16,6,4,2009.510959
3.53716E+13,16,3,37,88943,2010,14.42047461,2508348.181,-1388112.517,88943_3_37_16,8,18,2010.715982
3.53716E+13,16,3,37,84877,2009,0,2505055.872,-1453482.838,84877_3_37_16,9,1,2009.75274
3.53716E+13,16,3,37,82083,2009,0,2494965.227,-1400629.993,82083_3_37_16,9,1,2009.75274
3.53716E+13,16,3,37,85960,2009,0,2491501.656,-1375795.963,85960_3_37_16,9,1,2009.75274
3.53721E+13,16,3,59,82542,2009,45.95273168,2604233.082,-1383644.695,82542_3_59_16,5,14,2009.455023
3.53721E+13,16,3,59,84588,2009,0,2584329.739,-1387139.295,84588_3_59_16,9,1,2009.75274
3.53721E+13,16,3,59,84424,2009,16.96782839,2577193.306,-1372821.648,84424_3_59_16,5,5,2009.430365
1.88772E+14,16,3,33,87069,2015,0,2478564.742,-1323219.965,87069_3_33_16,9,1,2015.75274
1.88772E+14,16,3,59,83072,2015,0,2483732.477,-1331367.804,83072_3_59_16,8,1,2015.669406
1.88772E+14,16,3,33,86525,2015,0,2465246.332,-1339694.4,86525_3_33_16,9,1,2015.75274
1.88772E+14,16,3,23,84285,2015,0,2450244.832,-1342079.623,84285_3_23_16,9,1,2015.75274
1.88774E+14,16,3,59,85542,2018,0,2533916.248,-1358713.773,85542_3_59_16,9,1,2018.75274
1.88774E+14,16,3,37,86915,2018,0,2547182.878,-1433320.315,86915_3_37_16,9,1,2018.75274
1.88774E+14,16,3,37,83539,2018,0,2531138.474,-1438437.877,83539_3_37_16,9,1,2018.75274
1.88774E+14,16,3,59,84773,2018,80.42906373,2561343.127,-1405248.048,84773_3_59_16,7,19,2018.635388
1.88774E+14,16,3,37,88319,2018,0,2526891.735,-1410787.6,88319_3_37_16,9,1,2018.75274
1.88771E+14,16,3,29,84720,2015,0,2298292.181,-1245207.944,84720_3_29_16,9,1,2015.75274
1.88771E+14,16,3,65,84466,2015,0,2394533.232,-1244559.233,84466_3_65_16,9,1,2015.75274
1.88773E+14,16,3,65,85927,2016,0,2398788.316,-1238780.191,85927_3_65_16,7,6,2016.599772
1.88773E+14,16,3,19,88939,2016,0,2364297.576,-1245280.47,88939_3_19_16,10,24,2016.899087
1.88774E+14,16,3,37,87497,2017,0,2489291.565,-1396151.797,87497_3_37_16,9,1,2017.75274
1.88771E+14,16,3,33,82291,2014,0,2493117.423,-1320047.316,82291_3_33_16,9,1,2014.75274
1.88772E+14,16,3,37,81595,2015,0,2462044.163,-1415525.389,81595_3_37_16,9,1,2015.75274
1.88772E+14,16,3,37,80087,2015,0,2479398.993,-1428150.665,80087_3_37_16,9,1,2015.75274
1.88772E+14,16,3,37,84715,2015,0,2444099.905,-1421523.952,84715_3_37_16,9,1,2015.75274
1.88772E+14,16,3,37,81392,2015,0,2477287.623,-1389027.479,81392_3_37_16,9,1,2015.75274
1.88772E+14,16,3,37,85284,2015,0,2475185.858,-1403054.481,85284_3_37_16,9,1,2015.75274
1.88772E+14,16,3,37,80934,2015,9.044808409,2480043.373,-1414361.578,80934_3_37_16,6,9,2015.524658
1.88772E+14,16,3,37,80931,2015,0,2455218.808,-1406895.463,80931_3_37_16,9,1,2015.75274
1.88772E+14,16,3,37,81777,2015,0,2435266.217,-1409547.7,81777_3_37_16,9,1,2015.75274
1.88772E+14,16,3,23,88793,2015,0,2423289.369,-1395942.959,88793_3_23_16,9,1,2015.75274
1.88774E+14,16,3,43,82386,2018,0,2506335.334,-1216949.079,82386_3_43_16,8,6,2018.683105
3.54846E+14,16,3,33,86589,2019,0,2501340.802,-1320604.426,86589_3_33_16,8,10,2019.694064
3.53714E+13,16,3,29,88372,2011,0,2296646.588,-1235280.917,88372_3_29_16,7,15,2011.624429
3.53715E+13,16,3,33,81242,2011,1.732413235,2502360.174,-1318663.532,81242_3_33_16,8,2,2011.672146
3.53715E+13,16,3,33,81395,2011,0,2494196.397,-1294518.66,81395_3_33_16,8,13,2011.702283
3.53715E+13,16,3,33,85817,2011,0,2463278.322,-1325081.115,85817_3_33_16,7,30,2011.665525
3.53715E+13,16,3,33,86589,2011,0,2501340.802,-1320604.426,86589_3_33_16,8,2,2011.672146
3.53716E+13,16,3,37,86010,2011,0,2492122.518,-1415804.473,86010_3_37_16,8,19,2011.718721
3.53716E+13,16,3,37,87649,2011,0,2463397.651,-1425143.85,87649_3_37_16,7,9,2011.607991
3.53716E+13,16,3,37,84974,2011,0,2440451.228,-1408356.043,84974_3_37_16,9,3,2011.758219
3.53716E+13,16,3,37,81855,2011,0,2426725.95,-1415470.304,81855_3_37_16,9,3,2011.758219
3.53716E+13,16,3,37,84627,2011,1.430066592,2478265.348,-1405087.797,84627_3_37_16,8,23,2011.72968
3.53721E+13,16,3,59,83555,2011,0,2549265.29,-1392242.062,83555_3_59_16,8,11,2011.696804
3.53721E+13,16,3,59,86480,2011,0,2545575.364,-1366825.018,86480_3_59_16,8,11,2011.696804
3.53721E+13,16,3,59,87514,2011,0,2529722.851,-1394660.612,87514_3_59_16,8,18,2011.715982
3.53722E+13,16,3,59,83859,2011,0,2484059.308,-1361781.133,83859_3_59_16,8,26,2011.7379
3.72758E+13,16,3,37,82244,2010,0,2465604.039,-1405418.791,82244_3_37_16,9,1,2010.75274
3.72758E+13,16,3,37,83763,2010,0,2504912.478,-1424470.695,83763_3_37_16,9,1,2010.75274
3.72758E+13,16,3,37,80788,2010,0,2487381.371,-1428657.438,80788_3_37_16,9,1,2010.75274
3.13681E+13,16,3,59,80108,2011,1.831593251,2516138.965,-1371442.486,80108_3_59_16,8,12,2011.699543
3.13693E+13,16,3,59,87980,2011,0,2499740.844,-1364284.076,87980_3_59_16,8,1,2011.669406
3.13689E+13,16,3,59,83950,2011,0,2495993.823,-1340095.94,83950_3_59_16,8,1,2011.669406
3.53725E+13,16,3,81,86138,2009,1.839793853,2411570.402,-1226983.558,86138_3_81_16,6,29,2009.579452
3.53725E+13,16,3,81,85538,2009,25.60386955,2392030.826,-1229695.345,85538_3_81_16,7,21,2009.640868
3.53725E+13,16,3,81,81267,2009,17.4272376,2387986.01,-1205393.712,81267_3_81_16,7,28,2009.660046
1.88772E+14,16,3,19,86584,2016,77.70042568,2369644.499,-1218795.368,86584_3_19_16,9,7,2016.769178
1.88772E+14,16,3,37,86228,2017,7.069572729,2463511.83,-1390417.313,86228_3_37_16,8,15,2017.707763
3.54845E+14,16,3,19,84965,2019,63.83730395,2374745.899,-1248012.942,84965_3_19_16,9,19,2019.802055
3.54845E+14,16,3,59,83495,2019,24.24772557,2569478.104,-1388774.288,83495_3_59_16,8,25,2019.73516
3.54845E+14,16,3,37,85502,2019,0,2514236.841,-1396866.749,85502_3_37_16,9,1,2019.75274
1.88773E+14,16,3,19,82762,2016,0,2343824.188,-1248572.189,82762_3_19_16,9,1,2016.75274
1.88773E+14,16,3,7,88178,2016,95.0930614,2272545.91,-1248688.008,88178_3_7_16,7,16,2016.627169
1.88775E+14,16,3,23,82858,2018,3.758405088,2457534.6,-1355735.922,82858_3_23_16,5,10,2018.444064
1.88775E+14,16,3,33,81587,2018,0,2502983.55,-1322416.069,81587_3_33_16,12,26,2019.071233
1.88775E+14,16,3,33,87293,2018,0,2491290.447,-1310508.9,87293_3_33_16,9,1,2018.75274
1.88774E+14,16,3,37,84979,2018,41.66130304,2480817.788,-1407485.028,84979_3_37_16,8,6,2018.683105
1.88772E+14,16,3,23,85908,2016,0,2476802.709,-1347982.54,85908_3_23_16,9,1,2016.75274
1.88772E+14,16,3,23,86448,2016,0,2442226.646,-1352860.109,86448_3_23_16,9,1,2016.75274
1.88772E+14,16,3,59,81871,2016,21.85642968,2555999.276,-1401307.967,81871_3_59_16,6,23,2016.563014
3.54846E+14,16,3,33,84243,2019,55.76752366,2489562.303,-1269954.456,84243_3_33_16,8,23,2019.72968
3.54846E+14,16,3,33,87880,2019,44.60631838,2489215.812,-1281629.46,87880_3_33_16,6,1,2019.50274
3.54846E+14,16,3,23,80963,2019,0,2448927.7,-1367114.287,80963_3_23_16,9,1,2019.75274
3.54846E+14,16,3,23,84440,2019,0,2432653.18,-1360015.883,84440_3_23_16,9,1,2019.75274
1.88771E+14,16,3,33,84254,2014,0,2455507.763,-1328169.205,84254_3_33_16,9,1,2014.75274
1.88771E+14,16,3,33,81807,2014,0,2455124.07,-1341039.57,81807_3_33_16,9,1,2014.75274
1.88771E+14,16,3,43,82219,2014,107.7834498,2511267.4,-1210579.555,82219_3_43_16,10,10,2014.860731
1.88771E+14,16,3,43,86353,2014,29.58301821,2491263.167,-1214081.744,86353_3_43_16,6,12,2014.532877
5.39751E+12,16,3,81,81081,2005,97.51146958,2406569.016,-1227925.938,81081_3_81_16,9,21,2005.807534
1.18003E+13,16,3,37,88941,2006,0,2531193.957,-1443866.329,88941_3_37_16,9,1,2006.75274
3.72756E+13,16,3,29,82242,2010,0,2322442.547,-1241061.085,82242_3_29_16,9,1,2010.75274
3.72756E+13,16,3,29,86252,2010,0,2318698.614,-1216132.489,86252_3_29_16,9,1,2010.75274
3.72756E+13,16,3,29,88658,2010,117.2340379,2291069.316,-1235378.486,88658_3_29_16,9,17,2010.796575
3.72756E+13,16,3,29,82507,2010,0,2287277.456,-1246278.96,82507_3_29_16,9,1,2010.75274
3.72756E+13,16,3,29,83549,2010,36.49553145,2308869.85,-1230997.589,83549_3_29_16,9,18,2010.799315
3.53721E+13,16,3,59,88543,2009,77.71642834,2571516.721,-1403855.614,88543_3_59_16,9,2,2009.755479
3.53721E+13,16,3,59,83495,2009,39.40002245,2569478.104,-1388774.288,83495_3_59_16,5,29,2009.496119
3.53721E+13,16,3,59,83012,2009,0,2562485.698,-1374642.061,83012_3_59_16,9,1,2009.75274
